Lab_ID,Priority,Plot_ID,K,P,Mg,Ca,Na
1,1,A1_1,23.05609983,2.693972053,1.342224472,1.869019771,0.002324214
2,1,A1_2,27.58756336,3.130853183,0.937672445,1.456928167,-0.022374341
3,3,A1_3,28.93224536,2.949509315,1.292076979,1.664622252,-0.036333101
4,3,A1_4,41.84567765,6.493080771,1.802248078,3.250215778,0.044250372
5,1,A2_1,35.25896921,4.018099973,1.392440171,3.858053905,-0.003244176
6,3,A2_2,30.89404877,2.396377156,1.496816608,1.493883376,-0.010588205
7,3,A2_3,22.66050446,2.926297462,0.996115649,1.836543936,0.013073483
8,1,A2_4,28.20146301,3.553580055,1.167485067,1.745318415,-0.002195533
9,1,A3_1,28.9374681,2.470630167,1.036857533,1.64285213,0.138421093
10,1,A3_2,21.16815197,2.50888719,0.822003272,1.428815949,-0.028229146
11,3,A3_3,20.28727632,2.227204979,0.671555647,0.948723032,-0.045197905
12,1,A3_4,19.117807,3.148577167,0.834775353,1.572110936,-0.024031067
13,1,A4_1,32.69517,2.528593512,1.80719211,1.112864972,0.021882443
14,1,A4_2,28.56898821,3.279034975,1.049275405,2.007528608,-0.002790089
15,3,A4_3,29.01995228,2.248316277,1.070278505,1.45138015,0.010505953
16,1,A4_4,22.95519509,2.551255613,1.02128017,1.878280871,-0.033398862
17,1,B1_1,37.65286457,5.287515696,1.930135067,2.18035928,0.078649403
18,1,B1_2,33.67568383,4.812986493,1.458770057,1.701182663,-0.058295852
19,3,B1_3,32.50512617,3.027385474,1.482477475,2.000477254,0.157973395
20,3,B1_4,24.7814441,3.363744054,1.064759512,1.194015432,0.006280949
21,1,B2_1,36.41447951,4.067769368,1.700512943,1.982626302,0.091215849
22,1,B2_2,25.66190721,3.244202941,1.618287401,1.757803585,-0.078985808
23,3,B2_3,25.90887483,3.235563603,0.999617142,1.027801467,0.000482951
24,1,B2_4,17.18125722,2.765618174,0.743666859,1.057159379,0.0292137
25,1,B3_1,29.52453609,2.78466285,1.739086274,1.225472107,0.441599151
26,1,B3_2,24.11984028,2.797139277,1.248240054,1.148720076,0.078981702
27,3,B3_3,21.20809477,2.938224072,1.036516819,1.758517406,-0.080842387
28,1,B3_4,26.75756496,2.939802978,1.806978368,2.693803587,-0.079247528
29,1,B4_1,30.19375763,3.570644477,1.628250536,3.092600971,0.107406637
30,3,B4_2,40.26039297,5.440412063,1.269999133,3.89043075,0.073230023
31,3,B4_3,28.04661002,2.860554713,1.893978884,3.625622637,-0.080979031
32,1,B4_4,29.11951845,2.349483791,1.402720585,1.82210967,-0.052554278
33,1,C1_1,27.41276909,3.621146517,1.104814991,1.813376748,-0.028916442
34,1,C1_2,25.27912923,3.618055138,0.761142606,1.461107793,-0.038872951
35,3,C1_3,22.56750703,2.856860311,0.821473973,1.314360721,-0.049174536
36,1,C1_4,20.2473647,2.475410571,0.80296973,0.953752084,-0.05322444
37,1,C2_1,29.08943797,3.676609149,0.850111879,1.407385886,-0.071456626
38,1,C2_2,19.52767882,3.181888861,0.729749712,0.983132253,0.418219257
39,3,C2_3,21.20634799,2.606100964,0.88470408,1.135633954,-0.031105175
40,1,C2_4,24.50544672,3.785936821,1.118411348,1.416389473,-0.05402628
41,1,C3_1,23.70543942,3.73620083,1.240178026,1.736168623,-0.033529254
42,1,C3_2,22.67439855,3.538813041,1.090471932,1.388395862,-0.037642942
43,3,C3_3,21.82434969,2.222956528,0.969177356,1.453429944,-0.035153274
44,1,C3_4,18.96332004,2.924982981,0.847593531,1.087908842,-0.025188276
45,1,C4_1,27.86122787,3.39051093,1.174869666,1.720718892,-0.037608884
46,1,C4_2,20.36402745,3.110922659,0.909145856,1.531880865,-0.038210268
47,3,C4_3,21.15011211,2.713565236,0.786451737,1.044544556,-0.017424057
48,3,C4_4,24.82463721,2.588908183,1.41223802,1.452414795,-0.045663185
49,1,D1_1,27.15502531,2.49238309,1.189503677,1.340657146,-0.036587293
50,1,D1_2,23.30970114,3.515623779,1.172833768,1.328961642,-0.061749591
51,3,D1_3,25.38192242,3.329747462,1.661480922,1.49318732,-0.023689242
52,1,D1_4,25.77613873,3.966622271,0.872113045,1.542108498,-0.064107335
53,1,D2_1,30.27109442,3.242737213,1.657491106,2.732631092,-0.063660385
54,3,D2_2,30.35173594,3.29546593,1.653411396,2.758789514,-0.061500549
55,3,D2_3,20.00501302,3.055185195,0.746747639,1.689080514,-0.037973917
56,1,D2_4,25.35370163,3.470011878,1.06481286,1.506724407,-0.024620153
57,1,D3_1,25.44405826,3.645874619,1.38507183,1.861840274,-0.046854311
58,1,D3_2,22.01290013,3.451711751,1.630125522,1.640719911,-0.044340366
59,3,D3_3,22.10455367,2.796671734,1.118020304,1.849536634,-0.011338068
60,1,D3_4,25.21657338,3.356183048,1.499845551,1.177735366,-0.004919749
61,1,D4_1,25.70482009,3.066722032,0.970709654,1.854482311,-0.028582387
62,1,D4_2,34.32787829,3.826516113,1.529650055,1.684416877,-0.054793971
63,3,D4_3,18.40165282,2.721473127,1.136631977,1.407322561,-0.033220221
64,1,D4_4,20.36045722,2.019497071,0.688735721,0.870383876,-0.047719199
65,2,MA_T_1,25.49497013,3.606634933,1.295798225,1.9662759,-0.05127294
66,2,MA_T_2,23.86581466,3.757652392,1.341836032,1.509848889,-0.031378845
67,2,MA_T_3,21.84361687,3.472068136,0.847923698,1.167290017,-0.039583028
68,2,MA_T_4,27.7536202,4.085926451,1.509488944,1.748227561,-0.035838752
69,2,MA_C_1,20.79387737,3.155196702,1.294407062,1.21647,-0.053328474
70,2,MA_C_2,15.99107592,2.435321887,0.817144439,1.517884166,-0.060571895
71,2,MA_C_3,25.75207247,3.417438024,1.374667254,1.905483022,-0.061163683
72,2,MA_C_4,16.31480968,3.834656166,1.456199739,1.804277633,-0.024933523
73,2,MD_T_1,27.5922155,4.08943696,1.120399963,1.380034143,-0.045775802
74,2,MD_T_2,29.91673248,4.524426288,0.87756823,1.584579513,-0.031501142
75,2,MD_T_3,24.30929086,3.644911534,1.402315791,1.554694903,-0.015581735
76,2,MD_T_4,24.70152266,4.318430429,1.002241005,1.338642215,-0.027057808
77,2,MD_C_1,21.22291024,3.333104094,0.769933213,0.879939519,-0.036922236
78,2,MD_C_2,29.55428129,3.923419899,1.287855302,1.515986568,-0.025386551
79,2,MD_C_3,26.72814684,3.627120122,1.016880585,1.413241642,-0.025684653
80,2,MD_C_4,24.31283603,4.218827658,1.039235248,1.739389812,-0.026092502
81,2,MB-T-1,25.90644184,4.115053683,0.896887211,1.102928083,-0.061286645
82,2,MB-T-2,27.55679496,3.920739255,0.991741014,1.261601733,-0.025451137
83,2,MB-T-3,25.68307548,4.341687219,1.024141479,1.190332048,-0.025251237
84,2,MB-T-4,25.69349131,3.619981975,0.700494064,1.435618319,-0.015305113
85,2,MB-C-1,22.97894843,3.367782347,0.941599081,1.257069346,-0.021580529
86,2,MB-C-2,23.30830793,3.421303016,0.893899041,1.222150379,-0.012935522
87,2,MB-C-3,22.40968551,3.594766581,0.853924215,1.372661678,-0.017756197
88,2,MB-C-4,22.79490429,3.609187422,0.802496444,1.150099485,-0.015686247
89,2,MC-T-1,26.4809437,4.728679975,0.992772248,1.782566028,0.014701987
90,2,MC-T-2,26.82266258,4.500456971,0.900337352,1.323830389,0.107055446
91,2,MC-T-3,23.80336208,4.868934835,1.162226364,1.777196455,0.019470507
92,2,MC-T-4,27.29198341,4.935144939,1.402486919,1.380268624,0.086792585
93,2,MC-C-1,23.36842327,3.672788409,1.510542654,2.04560777,-0.035836212
94,2,MC-C-2,25.86902558,4.690713286,0.930181071,1.049554599,0.0237978
95,2,MC-C-3,20.72882102,2.993259428,0.78653379,1.076184506,-0.026247502
96,2,MC-C-4,25.78409104,3.94474907,1.219809968,1.673694811,-0.080493664
