"CT_id","X","Y","Animal","Zone","ht_cropped","combined_nomodel_night_25833","combined_nomodel_day_night_25833","redkills_winter23_24_30res_1500b_25833","all_hunting_Oct23Mar24_30res_1500b_25833","veg_coverage_10m_2019_2020_25833","DTM_final_25833","ruggedness_25833","Slope_25833","veg_dens_05m_2m_2019_2020_25833","buffer35_VG_mean","buffer35_VG_SD","buffer10_VG_mean","dist_wint","dist_paths"
"WTM_BYW001_23",368563.710927768,5441614.10138813,"no","Managementzone","mix_stand",0.0296705383807421,0.0159179754555225,0.00266995187848806,0.356488555669785,1,805.120483398438,2.80475473403931,12.4956340789795,0.898617506027222,0.894908032219881,0.115429296858813,0.880065491566291,8752.04420361783,63.8054562758204
"WTM_BYW002_23",369544.50338591,5441624.23831187,"no","Naturzone","mix_stand",0.0501258298754692,0.029319753870368,0.00608183722943068,0.558966934680939,0.959999978542328,802.302368164062,1.3223865032196,6.2172999382019,0.98251748085022,0.917067775837122,0.110127869136221,0.95648292853282,8047.79783855351,26.8314800401105
"WTM_BYW004_23",371520.288278285,5441629.13222685,"E","Managementzone","mix_stand",0.124251626431942,0.0999182239174843,0.0106998141855001,0.505485713481903,1,765.075134277344,3.34621429443359,15.3539371490479,0.954225361347198,0.950126393483235,0.0701133583520962,0.965339688154367,6826.25112207994,26.9677100975321
"WTM_BYW005_23",372542.170500218,5441649.96704601,"EM","Kerngebiet","mix_stand",0.174899473786354,0.190723970532417,0.0113449841737747,0.266238838434219,1,892.619079589844,4.29602432250977,19.163330078125,0.930835723876953,0.96515152013147,0.0347023958274845,0.952735414871803,6362.16620537859,31.4161110690268
"WTM_BYW007_23",374529.446765305,5441617.85576777,"EM","Kerngebiet","mix_stand",0.278454601764679,0.370928168296814,0.0585075803101063,0.0214316006749868,0,943.459594726562,0.787658035755157,3.54309964179993,0.849462389945984,0.489404453998131,0.233030620895822,0.657252869926966,5806.47241437688,527.004883499597
"WTM_BYW009_23",368552.679761201,5440627.82113851,"no","Managementzone","con_stand",0.0223077088594437,0.0106533262878656,0.00903625320643187,0.3512202501297,1,769.497985839844,2.32098436355591,10.6987905502319,0.96875,0.960566646777667,0.055126097653564,0.981780485673384,8144.47801544508,48.0422852931146
"WTM_BYW010_23",369542.326324631,5440634.41779744,"no","Naturzone","dec_stand",0.0457163266837597,0.0234045758843422,0.0215581469237804,0.554051458835602,0.920000016689301,775.007751464844,4.41670513153076,19.1608848571777,0.94670844078064,0.942253021857677,0.0425260545803285,0.962549544297732,7370.64321012942,45.7369305276248
"WTM_BYW011_23",370520.05156817,5440631.46046282,"no","Naturzone","deadwood",0.0883491039276123,0.051708310842514,0.0344732627272606,0.623341679573059,0.920000016689301,755.59814453125,0.919530808925629,4.30319881439209,0.972222208976746,0.952239151593227,0.0852522874489573,0.985645034483501,6655.70268520883,121.597009100452
"WTM_BYW013_23",372543.064151607,5440643.41358838,"EM","Naturzone","mix_stand",0.176591724157333,0.171749293804169,0.0316492840647697,0.258542239665985,0.959999978542328,832.937194824219,2.26507067680359,10.5394163131714,0.987138271331787,0.968034618940109,0.0550080109224485,0.983268802364667,5458.52284892952,75.1652816453707
"WTM_BYW014_23",373547.117793788,5440643.72058935,"EM","Kerngebiet","mix_stand",0.232606157660484,0.285073161125183,0.0465265549719334,0.0895417407155037,0.600000023841858,1073.32336425781,3.03465414047241,13.8615942001343,0.9715536236763,0.904155900401454,0.0837501418531196,0.927353638869066,5058.06582056906,98.2502540715452
